학교명,위도,경도,label
원호초등학교,36.154487,128.3318944,0
진평초등학교,36.09135257,128.4274392,1
구미원당초등학교,36.144258,128.424887,0
구미신평초등학교,36.12191861,128.3658616,1
무을초등학교,36.26353895,128.1970182,0
선산초등학교,36.24392309,128.3013276,1
금오초등학교,36.12344066,128.334752,0
고아초등학교,36.21239194,128.3287157,1
도봉초등학교,36.14222705,128.3169424,1
구미초등학교,36.13017165,128.333859,1
구운초등학교,36.17098392,128.3689813,0
도산초등학교,36.14155308,128.3329637,0
구미오산초등학교,36.0720382,128.3530127,1
광평초등학교,36.11297054,128.3625345,0
구미왕산초등학교,36.08612317,128.3654769,0
구미신당초등학교,36.16055561,128.431244,0
장천초등학교,36.13082394,128.4944932,0
옥계동부초등학교,36.13910909,128.427625,0
남계초등학교,36.18109403,128.3484377,1
구미봉곡초등학교,36.15338802,128.3038166,0
도량초등학교,36.14429831,128.3195954,1
야은초등학교,36.14861927,128.3214988,1
산동초등학교,36.167278,128.446422,0
상모초등학교,36.09079516,128.3563833,1
지산초등학교,36.14045065,128.3445445,1
형일초등학교,36.11514504,128.329942,1
선주초등학교,36.15110034,128.3113637,0
오태초등학교,36.07019424,128.3494353,1
구미문성초등학교,36.16185268,128.3452678,0
형곡초등학교,36.10975713,128.338673,1
천생초등학교,36.0940518,128.4381111,0
인동초등학교,36.10688422,128.4220825,0
구평남부초등학교,36.09097726,128.4368463,0
해마루초등학교,36.14046299,128.4332787,0
정수초등학교,36.09074836,128.3515292,0
해평초등학교,36.20259644,128.3916218,1
도개초등학교,36.30015527,128.3322189,1
송정초등학교,36.114006,128.3479355,1
구평초등학교,36.09113802,128.451961,0
문장초등학교,36.14857959,128.3327624,1
옥성초등학교,36.29683396,128.276015,0
비산초등학교,36.11829707,128.374768,0
형남초등학교,36.10124649,128.3350452,1
덕촌초등학교,36.26323373,128.2545434,0
원남초등학교,36.12921007,128.3211902,0
옥계초등학교,36.1404745,128.414387,1
구미인덕초등학교,36.162009,128.437471,0
황상초등학교,36.11900674,128.4269202,1
구미사곡초등학교,36.09990116,128.3605588,1
인의초등학교,36.1019003,128.4272447,0
신기초등학교,36.1262437,128.3652454,1
양포초등학교,36.14481291,128.4158036,1
